OBJECTID,UNIT_ID,LMS_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY,Shape__Area,Shape__Length
103,2529,22740,John Quimby Park,John Quimby Park,Open Access,4.26,4.26003858,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park < 5 Acres,Yes,Yes,Yes,Poor,Present - Poor,None,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,Local Park,34.19837981,-118.5878263,7008  De Soto Ave,Los Angeles,91303,,(818) 883-6641,No,185566.5381,1858.825878
129,3262,22726,Chatsworth Nature Preserve and Reservoir,Chatsworth Nature Preserve and Reservoir,Open Access,1025.802,1025.730565,"Los Angeles - Department of Water and Power, City of",City,City Agency,http://www.ladwp.com/,"Los Angeles - Department of Water and Power, City of",Regional Park,Regional Openspace,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.23176523,-118.6294986,Chatsworth,Los Angeles,91304,,,No,44680644.71,50842.10224
142,3551,,Lanark Park,Lanark Park,Open Access,19.2,19.19861087,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,4,1,3,1,0,0,1,0,1,1,0,0,0,1,0,1,4,9,1,Local Park,34.21655395,-118.6037751,21816  Lanark St,Los Angeles,91304,,(818) 883-1503,No,836288.1377,3788.732565
149,3684,,Bell Canyon Open Space,Bell Canyon OS,Open Access,57.344,57.34017594,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.20952122,-118.6625325,West Hills,Los Angeles,91304,,,No,2497728.07,11762.59264
156,3832,22788,Lazy J Ranch Park,Lazy J Ranch Park,Open Access,8.435,8.434094,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Local Park,34.21311537,-118.6451384,Ingomar ,Los Angeles,91304,,(818) 883-6641,No,367387.667,2876.037482
248,5496,,Bell Canyon Open Space,Bell Canyon OS,Open Access,4.294,4.29385334,Santa Monica Mountains Conservancy,State,State Agency,http://www.smmc.ca.gov,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,34.21232029,-118.6557023,West Hills,Los Angeles,91304,,,No,187039.5039,1996.829445
1237,7333,2680,Orcutt Ranch Horticultural Center Park,Orcutt Ranch Horticultural Ctr. Park,Open Access,24.108,24.10632322,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.21809518,-118.6404893,23600 Roscoe Blvd,Los Angeles,91304,,,No,1050067.246,4873.515306
1258,8041,22739,Parthenia Park,Parthenia Park,Open Access,1.419,1.41934892,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Local Park,34.2277341,-118.59893,21444  Parthenia St,Los Angeles,91304,,(818) 883-6641,No,61826.58789,985.730966
1316,10379,22763,Roscoe-Valley Circle Park,Roscoe-Valley Circle Park,Open Access,53.549,53.54590108,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Community Regional Park,Park 5 to 100 Acres,Yes,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,34.21663723,-118.6508452,Canoga Park,Los Angeles,91304,,,No,2332450.122,11291.115
1581,14674,22826,Taxco Trails Park,Taxco Trails Park,Open Access,2.455,2.45499249,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Good,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Local Park,34.21254129,-118.6382835,23367  Ingomar St,Los Angeles,91304,,(818) 883-6641,No,106939.0459,1369.263128
