City,Walk Score
Agoura Hills,36
Alhambra,69
Arcadia,53
Artesia,75
Azusa,55
Baldwin Park,50
Bell,74
Bell Gardens,68
Bellflower,62
Beverly Hills,78
Burbank,69
Calabasas,20
Carson,53
Cerritos,54
Claremont,46
Compton,63
Covina,56
Cudahy,63
Culver City,73
Diamond Bar,28
Downey,59
Duarte,47
El Monte,60
El Segundo,69
Gardena,74
Glendale,69
Glendora,44
Hawthorne,69
Hermosa Beach,84
Huntington Park,80
Inglewood,69
La Cañada Flintridge,31
La Habra,61
La Mirada,47
La Puente,54
La Verne,39
Lakewood,53
Lancaster,28
Lawndale,76
Lomita,69
Long Beach,70
Los Angeles,67
Lynwood,65
Manhattan Beach,70
Maywood,77
Monrovia,60
Montebello,64
Monterey Park,61
Norwalk,58
Palmdale,25
Paramount,63
Pasadena,66
Pico Rivera,56
Pomona,52
Rancho Palos Verdes,26
Redondo Beach,74
Rosemead,61
San Dimas,36
San Fernando,73
San Gabriel,69
Santa Clarita,34
Santa Monica,83
South El Monte,64
South Gate,69
South Pasadena,65
Temple City,55
Torrance,64
Walnut,32
West Covina,45
West Hollywood,91
Whittier,61
