PropertyName,PropertyAddress,City,State,Zip,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,TargetTenantType,S8_1_ProgramName,LIHTC_1_ProgramName
GOOD SHEPHERD HOMES,510 Centinela Ave,Inglewood,CA,90302-3246,Los Angeles,6037,6037600902,43,33.97285,-118.34935,Disabled,202/8 NC,4% Tax Credit
GRACE MANOR,508 Grace Ave,Inglewood,CA,90301-1338,Los Angeles,6037,6037601001,43,33.968018,-118.348181,Disabled,PRAC/811,
HOMEWARD BOUND 2000,419 E Tamarack Ave,Inglewood,CA,90301-6309,Los Angeles,6037,6037601002,43,33.95925,-118.34798,Disabled,PRAC/811,
HOMEWARD BOUND-INGLEWOOD,550 W Regent St,Inglewood,CA,90301-1080,Los Angeles,6037,6037601401,43,33.96387,-118.36551,Disabled,PRAC/811,
PACIFIC RIM APARTMENTS,230 S Grevillea Ave,Inglewood,CA,90301-2349,Los Angeles,6037,6037601211,43,33.96085,-118.3543,Disabled,202/8 NC,
REGENT PLAZA,201 W Regent St,Inglewood,CA,90301-1249,Los Angeles,6037,6037601211,43,33.96449,-118.35738,Elderly,Sec 8 NC,4% Tax Credit
REGENCY TOWERS,151 N Locust St,Inglewood,CA,90301-1864,Los Angeles,6037,6037601001,43,33.96396,-118.35082,Elderly,Sec 8 NC,4% Tax Credit
OSAGE SENIOR VILLAS,924 S Osage Ave,Inglewood,CA,90301-4100,Los Angeles,6037,6037601100,43,33.95163,-118.34513,Elderly or disabled,,9% Tax Credit
PATH VILLAS OSAGE APARTMENTS,812 S Osage Ave,Inglewood,CA,90301-3550,Los Angeles,6037,6037601002,43,33.953472,-118.34496,Family,,9% Tax Credit
REGENT SQUARE,527 W Regent St,Inglewood,CA,90301-1198,Los Angeles,6037,6037601401,43,33.964873,-118.365319,,,4% Tax Credit
WESTSIDE II,725 Hindry Ave,Inglewood,CA,90301-3259,Los Angeles,6037,6037601401,43,33.953836,-118.374435,,,TCEP
EUCALYPTUS PARK,811 N Eucalyptus Ave,Inglewood,CA,90302-2236,Los Angeles,6037,6037601303,43,33.97357,-118.36016,Elderly,Sec 8 NC,9% Tax Credit
INGLEWOOD MEADOWS,1 S Locust St,Inglewood,CA,90301-1808,Los Angeles,6037,6037601001,43,33.96298,-118.35027,Elderly,Sec 8 NC,4% Tax Credit
MARKET PARK APARTMENTS,601 N Market St,Inglewood,CA,90302-3047,Los Angeles,6037,6037600902,43,33.97124,-118.35549,Family,Preservation,4% Tax Credit
PATH VILLAS EUCALYPTUS,240 Lime St,Inglewood,CA,90301-2642,Los Angeles,6037,6037601212,43,33.957601,-118.358778,Elderly or disabled,,9% Tax Credit
OSAGE APARTMENTS,11128 S Osage Ave,Inglewood,CA,90304-2902,Los Angeles,6037,6037601700,43,33.9337,-118.34546,Family,,9% Tax Credit
MERIT HALL APARTMENTS,1035 Lewis Ave,Long Beach,CA,90813-3682,Los Angeles,6037,6037576401,47,33.7798,-118.17985,Disabled,PRAC/811,
DEL AMO GARDENS,225 W Del Amo Blvd,Long Beach,CA,90745,Los Angeles,6037,6037543501,44,33.826,-118.2694,Elderly,Preservation,
AMERICAN GOLD STAR MANOR,3021 N Gold Star Dr,Long Beach,CA,90810-2708,Los Angeles,6037,6037572500,47,33.814303,-118.217892,Elderly or disabled,,4% Tax Credit
PARK PACIFIC TOWER,714 Pacific Ave,Long Beach,CA,90813-4234,Los Angeles,6037,6037575803,47,33.775673,-118.193323,Elderly,LMSA,
SEAMIST TOWER,1451 Atlantic Ave,Long Beach,CA,90813-2076,Los Angeles,6037,6037575300,47,33.784667,-118.185159,Elderly,202/8 NC,4% Tax Credit
LONG BEACH MANOR,2209 Clark Ave,Long Beach,CA,90815-2522,Los Angeles,6037,6037574202,47,33.796523,-118.134524,Disabled,PRAC/811,
BELMENO MANOR,2441 Belmont Ave,Long Beach,CA,90815-1704,Los Angeles,6037,6037574202,47,33.801826,-118.144632,Disabled,PRAC/811,
SCHERER PARK APARTMENTS,4676 Long Beach Blvd,Long Beach,CA,90805-6961,Los Angeles,6037,6037571502,47,33.842607,-118.191831,Elderly,Sec 8 NC,
BEACHWOOD APARTMENTS,505 W 6th St,Long Beach,CA,90802-1109,Los Angeles,6037,6037575901,47,33.77443,-118.19842,Disabled,202/8 NC,4% Tax Credit
PACIFIC COAST VILLA,690 E Pacific Coast Hwy,Long Beach,CA,90806-5520,Los Angeles,6037,6037573202,47,33.78976,-118.18364,Family,Sec 8 NC,
CASA CORAZON,408 Elm Ave,Long Beach,CA,90802-2428,Los Angeles,6037,6037576200,47,33.77202,-118.18741,Disabled,PRAC/811,
CASITAS DEL MAR II,1030 Olive Ave,Long Beach,CA,90813-3519,Los Angeles,6037,6037576302,47,33.779558,-118.182538,Family,Sec 8 NC,
NORTHPOINTE APARTMENTS II,5441 N Paramount Blvd,Long Beach,CA,90805-5128,Los Angeles,6037,6037570603,44,33.85544,-118.161,Family,Preservation,4% Tax Credit
FEDERATION TOWER,3801 E Willow St,Long Beach,CA,90815-1734,Los Angeles,6037,6037574202,47,33.805296,-118.14821,Elderly,202/8 NC,
LUTHERAN TOWERS,2340 E 4th St,Long Beach,CA,90814-1173,Los Angeles,6037,6037576801,47,33.771422,-118.163447,Elderly,202/8 NC,
CASITAS DEL MAR I,1324 E Hellman St,Long Beach,CA,90813-4981,Los Angeles,6037,6037576402,47,33.7762,-118.17472,Family,Sec 8 NC,
PLYMOUTH WEST,240 Chestnut Ave,Long Beach,CA,90802-2949,Los Angeles,6037,6037575902,47,33.77011,-118.19596,Elderly,LMSA,4% Tax Credit
NEW HOPE HOME,1150 E New York St,Long Beach,CA,90813-2217,Los Angeles,6037,6037575201,47,33.78437,-118.1784,Elderly,LMSA,4% Tax Credit
COVENANT MANOR,600 E 4th St,Long Beach,CA,90802-2681,Los Angeles,6037,6037576200,47,33.77161,-118.18501,Elderly,202/8 NC,4% Tax Credit
PROVIDENCE GARDENS,1011 Pine Ave,Long Beach,CA,90813-3149,Los Angeles,6037,6037575803,47,33.77948,-118.19301,Elderly,LMSA,4% Tax Credit
CASITAS DEL MAR III,1430 E 17th St,Long Beach,CA,90813-2312,Los Angeles,6037,6037575201,47,33.78789,-118.21132,Family,Sec 8 NC,
ST MARY'S TOWER,1120 Atlantic Ave,Long Beach,CA,90813-3378,Los Angeles,6037,6037576302,47,33.78091,-118.18493,Elderly,202/8 NC,
LONG BEACH SENIOR HOUSING,575 E Vernon St,Long Beach,CA,90806-3180,Los Angeles,6037,6037573201,47,33.80375,-118.18557,Elderly,PRAC/202,
CITYVIEW APARTMENTS (FKA BRETHREN MANOR),3333 Pacific Pl,Long Beach,CA,90806-1259,Los Angeles,6037,6037572201,47,33.81768,-118.19522,,,4% Tax Credit
BEECHWOOD TERRACE,1117 Elm Ave,Long Beach,CA,90813-3299,Los Angeles,6037,6037576301,47,33.78145,-118.18836,Family,,9% Tax Credit
PACIFIC COURT APARTMENTS,250 Pacific Ave,Long Beach,CA,90802-3000,Los Angeles,6037,6037575902,47,33.7699,-118.19312,,,4% Tax Credit
CAMBRIDGE PLACE,421 W 33rd St,Long Beach,CA,90806-7386,Los Angeles,6037,6037572201,47,33.81731,-118.19651,Family,,9% Tax Credit
SEA GATE VILLAGE,1450 Locust Ave,Long Beach,CA,90813-5626,Los Angeles,6037,6037575402,47,33.7844,-118.19071,Elderly or disabled,,9% Tax Credit
VILLAGES AT CABRILLO,2001 River Ave,Long Beach,CA,90810-3622,Los Angeles,6037,6037572800,47,33.79161,-118.22227,,,9% Tax Credit
SPRINGDALE WEST APARTMENTS I & II,3120 N Springdale Dr,Long Beach,CA,90810-2696,Los Angeles,6037,6037572500,47,33.815111,-118.218579,Family,LMSA,4% Tax Credit
FAMILY COMMONS AT CABRILLO,2111 W Williams St,Long Beach,CA,90810-3627,Los Angeles,6037,6037572800,47,33.79299,-118.22128,Family,,9% Tax Credit
GRISHAM COMMUNITY HOUSING,11 W 49th St,Long Beach,CA,90805-7704,Los Angeles,6037,6037571701,44,33.84505,-118.19458,Family,,4% Tax Credit
DECRO LONG BEACH,745 Alamitos Ave,Long Beach,CA,90813-4700,Los Angeles,6037,6037576401,47,33.77604,-118.18029,Family,,4% Tax Credit
PACIFIC CITY LIGHTS,1643 Pacific Ave,Long Beach,CA,90813-6703,Los Angeles,6037,6037575401,47,33.78752,-118.19379,Family,,9% Tax Credit
EVERGREEN APARTMENTS,1528 Freeman Ave,Long Beach,CA,90804-1774,Los Angeles,6037,6037575103,47,33.78648,-118.15557,,,4% Tax Credit
ELM AVENUE APARTMENTS,530 Elm Ave,Long Beach,CA,90802-2413,Los Angeles,6037,6037576200,47,33.77348,-118.18757,,,9% Tax Credit
PUERTO DEL SOL APARTMENTS,745 W 3rd St,Long Beach,CA,90802-2709,Los Angeles,6037,6037575901,47,33.77058,-118.20138,Family,,4% Tax Credit
LONG BEACH BURNETT APARTMENTS,2355 Long Beach Blvd,Long Beach,CA,90806-3289,Los Angeles,6037,6037573100,47,33.79996,-118.18945,Family,,9% Tax Credit
CASITAS DEL MAR IV,851 Martin Luther King Jr Ave,Long Beach,CA,90813-4733,Los Angeles,6037,6037576302,47,33.78121,-118.1883,Family,Sec 8 NC,
PALACE HOTEL,2640 E Anaheim St,Long Beach,CA,90804-1209,Los Angeles,6037,6037576903,47,33.782316,-118.160228,,,TCEP
COURTYARDS IN LONG BEACH,1027 Redondo Ave,Long Beach,CA,90804,Los Angeles,6037,6037576903,47,33.77952,-118.15274,,,9% Tax Credit
LONG BEACH SENIOR ARTISTS COLONY,200 E Anaheim St,Long Beach,CA,90813-5432,Los Angeles,6037,6037576301,47,33.782501,-118.191078,Elderly or disabled,,4% Tax Credit
LONG BEACH & ANAHEIM,225 E 12th St,Long Beach,CA,90813-3190,Los Angeles,6037,6037576301,47,33.781732,-118.190299,Elderly or disabled,,9% Tax Credit
CABRILLO GATEWAY,2000 San Gabriel Ave,Long Beach,CA,90810-3601,Los Angeles,6037,6037572800,47,33.793001,-118.222902,Family,,9% Tax Credit
RAMONA PARK SENIOR,3290 E Artesia Blvd,Long Beach,CA,90805-7000,Los Angeles,6037,6037570204,44,33.874196,-118.154,Elderly or disabled,,4% Tax Credit
BELWOOD ARMS APARTMENTS,6301 Atlantic Ave,Long Beach,CA,90805-2974,Los Angeles,6037,6037570301,44,33.869159,-118.186223,,,4% Tax Credit
IMMANUEL PLACE (FKA IMMANUEL SENIOR HOUSING),3215 E 3rd St,Long Beach,CA,90814-2511,Los Angeles,6037,6037577100,47,33.768315,-118.154276,Elderly or disabled,,9% Tax Credit
BEACON PLACE,1201 Long Beach Blvd,Long Beach,CA,90813-3435,Los Angeles,6037,6037576301,47,33.781605,-118.189812,,,9% Tax Credit
PARTHENIA TOWNHOUSES,21218 Parthenia St,Los Angeles,CA,91304-1650,Los Angeles,6037,6037113234,30,34.2281,-118.59441,Family,Preservation,
CANOGA PARK,6824 Winnetka Ave,Los Angeles,CA,91306-3900,Los Angeles,6037,6037134800,30,34.194573,-118.570394,Family,Sec 8 NC,
MILWOOD APARTMENTS,6922 Milwood Ave,Los Angeles,CA,91303-2142,Los Angeles,6037,6037134520,30,34.19599,-118.59416,Elderly,Preservation,
ROSCOE PARK APARTMENTS,8332 Variel Ave,Los Angeles,CA,91304-4385,Los Angeles,6037,6037113234,30,34.22045,-118.59245,Family,Preservation,
DE SOTO GARDENS,8722 De Soto Ave,Los Angeles,CA,91304-1908,Los Angeles,6037,6037113421,30,34.22985,-118.58843,Family,Preservation,
ALABAMA COURT,7440 Alabama Ave,Los Angeles,CA,91303-1345,Los Angeles,6037,6037134522,30,34.2054,-118.59894,Family,,9% Tax Credit
NOBLE PINES APARTMENTS,21611 Saticoy St,Los Angeles,CA,91304-4944,Los Angeles,6037,6037134306,30,34.20837,-118.60068,Family,,9% Tax Credit
CASA DE CANOGA APARTMENTS,20717 Vanowen St,Los Angeles,CA,91306-3706,Los Angeles,6037,6037134904,30,34.19387,-118.58553,,,9% Tax Credit
VINTAGE CROSSING SENIOR APARTMENTS,6830 Jordan Ave,Los Angeles,CA,91303-4663,Los Angeles,6037,6037134520,30,34.19413,-118.60274,Elderly or disabled,,9% Tax Credit
HART VILLAGE,6941 Owensmouth Ave,Los Angeles,CA,91303-2070,Los Angeles,6037,6037134520,30,34.19569,-118.60164,Family,,9% Tax Credit
CASA MADRID,20721 Vanowen St,Los Angeles,CA,91306-3724,Los Angeles,6037,6037134904,30,34.22706,-118.465371,Family,,9% Tax Credit
VILLAGE WAY,20661 Lemarsh St,Los Angeles,CA,91311-3219,Los Angeles,6037,6037113322,30,34.255686,-118.583984,Disabled,PRAC/811,
CASTLEWOOD TERRACE II,16930 Chatsworth St,Los Angeles,CA,91344-7840,Los Angeles,6037,6037111400,30,34.264089,-118.500962,Elderly,PRAC/202,
RESEDA HORIZON,17831 San Jose St,Los Angeles,CA,91344-5925,Los Angeles,6037,6037111301,30,34.26135,-118.52196,Disabled,PRAC/811,
GRANADA GARDENS,16700 Chatsworth St,Los Angeles,CA,91344-6503,Los Angeles,6037,6037111400,30,34.26464,-118.49573,Family,LMSA,
PROJECT INDEPENDENCE,10454 Amestoy Ave,Los Angeles,CA,91344-6225,Los Angeles,6037,6037111301,30,34.26026,-118.50658,Disabled,PRAC/811,
CASTLEWOOD TERRACE,16920 Chatsworth St,Los Angeles,CA,91344-7839,Los Angeles,6037,6037111400,30,34.26467,-118.50054,Elderly,PRAC/202,
GREAT EXPECTATIONS,17026 Rinaldi St,Los Angeles,CA,91344-3543,Los Angeles,6037,6037106642,30,34.278784,-118.503242,Disabled,PRAC/811,
AVENIDA TERRACE APARTMENTS,245 S Avenue 54,Los Angeles,CA,90042-4563,Los Angeles,6037,6037183820,34,34.10469,-118.195434,Family,,9% Tax Credit
HOLLYWOOD PLAZA APARTMENTS,1637 Vine St,Los Angeles,CA,90028-8826,Los Angeles,6037,6037190700,28,34.100862,-118.327406,Elderly,LMSA,
WERNER ILLING HOUSE,1924 Argyle Ave,Los Angeles,CA,90068-3967,Los Angeles,6037,6037189500,28,34.1058,-118.32512,Elderly or disabled,,9% Tax Credit
WILCOX APARTMENTS,1805 Wilcox Ave,Los Angeles,CA,90028,Los Angeles,6037,6037190201,28,34.09751,-118.3311,Family,,9% Tax Credit
HAROLD WAY APARTMENTS,5521 Harold Way,Los Angeles,CA,90028-5461,Los Angeles,6037,6037190510,28,34.09941,-118.3097,,,9% Tax Credit
BUDLONG MANOR,11998 Terra Bella St,Los Angeles,CA,91342-7149,Los Angeles,6037,6037104108,29,34.27513,-118.39439,Elderly,Sec 8 NC,
WESTERN GARDENS,1742 W 84th Pl,Los Angeles,CA,90047-3065,Los Angeles,6037,6037238100,37,33.96135,-118.30853,Family,Sec 8 NC,
GEORGE MCDONALD COURT APARTMENTS,1800 E 92nd St,Los Angeles,CA,90002-2461,Los Angeles,6037,6037242200,44,33.952921,-118.240193,Elderly,PRAC/202,
SUBSIDIZED HOUSING CORPORATION 4,232 S Avenue 56,Los Angeles,CA,90042-4610,Los Angeles,6037,6037183820,34,34.105796,-118.193693,Family,Sec 8 NC,
ST NICHOLAS CEDARS MANOR,2323 W 4th St,Los Angeles,CA,90057-2748,Los Angeles,6037,6037208802,34,34.06386,-118.2757,Elderly,Sec 8 NC,
MIDWILSHIRE APARTMENTS,2826 S La Salle Ave,Los Angeles,CA,90018-3184,Los Angeles,6037,6037222200,37,34.029247,-118.304981,Family,LMSA,
SUBSIDIZED HOUSING CORPORATION 44,5415 Geer St,Los Angeles,CA,90016-3323,Los Angeles,6037,6037219901,37,34.03008,-118.36228,Family,Sec 8 NC,
E VICTOR VILLA,555 W 92nd St,Los Angeles,CA,90044-5654,Los Angeles,6037,6037240300,43,33.95333,-118.28415,Elderly,LMSA,4% Tax Credit
MARIPOSA MANOR,756 S Mariposa Ave,Los Angeles,CA,90005-2082,Los Angeles,6037,6037212304,34,34.058086,-118.29839,Elderly,PRAC/202,
