PropertyName,PropertyAddress,City,State,Zip,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,TargetTenantType,S8_1_ProgramName,LIHTC_1_ProgramName
MERIT HALL APARTMENTS,1035 Lewis Ave,Long Beach,CA,90813-3682,Los Angeles,6037,6037576401,47,33.7798,-118.17985,Disabled,PRAC/811,
DEL AMO GARDENS,225 W Del Amo Blvd,Long Beach,CA,90745,Los Angeles,6037,6037543501,44,33.826,-118.2694,Elderly,Preservation,
AMERICAN GOLD STAR MANOR,3021 N Gold Star Dr,Long Beach,CA,90810-2708,Los Angeles,6037,6037572500,47,33.814303,-118.217892,Elderly or disabled,,4% Tax Credit
PARK PACIFIC TOWER,714 Pacific Ave,Long Beach,CA,90813-4234,Los Angeles,6037,6037575803,47,33.775673,-118.193323,Elderly,LMSA,
SEAMIST TOWER,1451 Atlantic Ave,Long Beach,CA,90813-2076,Los Angeles,6037,6037575300,47,33.784667,-118.185159,Elderly,202/8 NC,4% Tax Credit
LONG BEACH MANOR,2209 Clark Ave,Long Beach,CA,90815-2522,Los Angeles,6037,6037574202,47,33.796523,-118.134524,Disabled,PRAC/811,
BELMENO MANOR,2441 Belmont Ave,Long Beach,CA,90815-1704,Los Angeles,6037,6037574202,47,33.801826,-118.144632,Disabled,PRAC/811,
SCHERER PARK APARTMENTS,4676 Long Beach Blvd,Long Beach,CA,90805-6961,Los Angeles,6037,6037571502,47,33.842607,-118.191831,Elderly,Sec 8 NC,
BEACHWOOD APARTMENTS,505 W 6th St,Long Beach,CA,90802-1109,Los Angeles,6037,6037575901,47,33.77443,-118.19842,Disabled,202/8 NC,4% Tax Credit
PACIFIC COAST VILLA,690 E Pacific Coast Hwy,Long Beach,CA,90806-5520,Los Angeles,6037,6037573202,47,33.78976,-118.18364,Family,Sec 8 NC,
CASA CORAZON,408 Elm Ave,Long Beach,CA,90802-2428,Los Angeles,6037,6037576200,47,33.77202,-118.18741,Disabled,PRAC/811,
CASITAS DEL MAR II,1030 Olive Ave,Long Beach,CA,90813-3519,Los Angeles,6037,6037576302,47,33.779558,-118.182538,Family,Sec 8 NC,
NORTHPOINTE APARTMENTS II,5441 N Paramount Blvd,Long Beach,CA,90805-5128,Los Angeles,6037,6037570603,44,33.85544,-118.161,Family,Preservation,4% Tax Credit
FEDERATION TOWER,3801 E Willow St,Long Beach,CA,90815-1734,Los Angeles,6037,6037574202,47,33.805296,-118.14821,Elderly,202/8 NC,
